Book Id,Title,Author,Author l-f,Additional Authors,Genre,Ratings Count,Reviews Count,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,Children's,447073,18108,0439206472,9780439206471,0,3.96,"Scholastic, Inc.",Paperback,176,1999,1999,,8/2/16,,,read,,,,1,,,0,,,,,
18630496,"Perfected (Perfected, #1)",Kate Jarvik Birch,"Birch, Kate Jarvik",,Science Fiction,7360,831,1622662687,9781622662685,0,3.62,Entangled Teen,Hardcover,281,2014,2014,,8/2/16,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
6581511,"Shadowland (The Immortals, #3)",Alyson Noel,"Noel, Alyson",,Fantasy,81473,2585,031259044X,9780312590444,0,3.66,St. Martin's Griffin,Hardcover,339,2009,2009,,8/2/16,,,read,,,,1,,,0,,,,,
6134826,"Blue Moon (The Immortals, #2)",Alyson Noel,"Noel, Alyson",,Fantasy,96250,3781,0312532768,9780312532765,0,3.61,St. Martin's Griffin,Paperback,284,2009,2009,,8/2/16,,,read,,,,1,,,0,,,,,
4134071,"Hunted (House of Night, #5)",P.C. Cast,"Cast, P.C.",Kristin Cast,Fantasy,177977,3586,031237982X,9780312379827,0,3.91,St. Martin's Griffin,Hardcover,323,2009,2009,,8/2/16,,,read,,,,1,,,0,,,,,
2866718,"Untamed (House of Night, #4)",P.C. Cast,"Cast, P.C.",Kristin Cast,Fantasy,229895,3719,0312379838,9780312379834,0,3.93,St. Martin's Griffin,Paperback,338,2008,2008,,8/2/16,,,read,,,,1,,,0,,,,,
1326258,"Chosen (House of Night, #3)",P.C. Cast,"Cast, P.C.",Kristin Cast,Fantasy,234236,4499,0312360304,9780312360306,0,3.91,St. Martin's Griffin,Paperback,307,2008,2008,,8/2/16,,,read,,,,1,,,0,,,,,
676924,"Betrayed (House of Night, #2)",P.C. Cast,"Cast, P.C.",Kristin Cast,Fantasy,257482,5658,0312360282,9780312360283,0,3.91,St. Martin's Griffin,Paperback,310,2007,2007,,8/2/16,,,read,,,,1,,,0,,,,,
30183,"Marked (House of Night, #1)",P.C. Cast,"Cast, P.C.",Kristin Cast,Fantasy,464042,14749,0312360266,9780312360269,0,3.8,St. Martin's Press,Paperback,306,2007,2007,,8/2/16,,,read,,,,1,,,0,,,,,
5980694,"Strokes of Genius: Federer, Nadal, and the Greatest Match Ever Played",L. Jon Wertheim,"Wertheim, L. Jon",,Non-Fiction,1306,126,0547232802,9780547232805,5,4.16,Mariner Books,Hardcover,224,2009,2009,,7/27/16,,,read,,,,1,,,0,,,,,
21413662,What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,Non-Fiction,146462,9311,0544272994,9780544272996,0,4.12,Mariner Books,Hardcover,303,2014,2014,,7/26/16,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,Mystery,2082509,49390,,,5,3.88,Anchor,Paperback,489,2006,2003,7/24/16,6/16/15,,,read,,,,1,,,0,,,,,
16096824,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,Fantasy,750144,65744,1619634449,9781619634442,4,4.18,Bloomsbury USA Childrens,Hardcover,419,2015,2015,,1/8/15,,,read,,,,1,,,1,,,unspecified,,
17927395,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,Fantasy,532970,55080,,,5,4.59,Bloomsbury USA Childrens,Kindle Edition,626,2016,2016,6/4/16,1/12/16,,,read,,,,1,,,0,,,,,
18243700,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,"Maas, Sarah J.",,Fantasy,184691,16604,1408852594,9781408852590,5,4.34,Bloomsbury Childrens,ebook,448,2014,2014,,7/15/16,,,read,,,,1,,,0,,,,,
4758093,"L.A. Candy (L.A. Candy, #1)",Lauren Conrad,"Conrad, Lauren",,Contemporary,25565,2166,0061767581,9780061767586,0,3.35,HarperCollins,Hardcover,326,2009,2009,,7/15/16,,,read,,,,1,,,0,,,,,
305234,"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,"Marr, Melissa",,Fantasy,171020,7202,0061214655,9780061214653,0,3.69,HarperTeen,Hardcover,328,2007,2007,,7/15/16,,,read,,,,1,,,0,,,,,
6397405,"Alphas (Alphas, #1)",Lisi Harrison,"Harrison, Lisi",,Contemporary,10801,433,0316035793,9780316035798,0,3.72,Poppy,Paperback,261,2009,2009,,7/15/16,,,read,,,,1,,,0,,,,,
3378137,"P.S. I Loathe You (The Clique, #10)",Lisi Harrison,"Harrison, Lisi",,Contemporary,7399,268,0316006815,9780316006811,0,3.78,Poppy,Paperback,208,2009,2008,,7/15/16,,,read,,,,1,,,0,,,,,
628955,"Bratfest at Tiffany's (The Clique, #9)",Lisi Harrison,"Harrison, Lisi",,Contemporary,11082,420,0316006807,9780316006804,0,3.83,Poppy,Paperback,227,2008,2008,,7/15/16,,,read,,,,1,,,0,,,,,
690816,"Sealed with a Diss (The Clique, #8)",Lisi Harrison,"Harrison, Lisi",,Contemporary,11369,387,0316115061,9780316115063,0,3.78,Poppy,Paperback,248,2007,2007,,7/15/16,,,read,,,,1,,,0,,,,,
6835,"It's Not Easy Being Mean (The Clique, #7)",Lisi Harrison,"Harrison, Lisi",,Contemporary,11335,375,0316115053,9780316115056,0,3.77,Poppy,Paperback,193,2007,2007,,7/15/16,,,read,,,,1,,,0,,,,,
261161,"Dial L for Loser (The Clique, #6)",Lisi Harrison,"Harrison, Lisi",,Contemporary,12554,522,0316115045,9780316115049,0,3.79,"Little, Brown Books for Young Readers",Paperback,268,2006,2006,,7/15/16,,,read,,,,1,,,0,,,,,
95660,"The Pretty Committee Strikes Back (The Clique, #5)",Lisi Harrison,"Harrison, Lisi",,Contemporary,13238,536,0316115002,9780316115001,0,3.83,Poppy,Paperback,265,2006,2006,,7/15/16,,,read,,,,1,,,0,,,,,
95659,"Invasion of the Boy Snatchers (The Clique, #4)",Lisi Harrison,"Harrison, Lisi",,Contemporary,14146,602,0316701343,9780316701341,0,3.77,Poppy,Paperback,252,2005,2005,,7/15/16,,,read,,,,1,,,0,,,,,
95661,"Revenge of the Wannabes (The Clique, #3)",Lisi Harrison,"Harrison, Lisi",,Contemporary,14497,728,0689875460,9780689875465,0,3.75,,Paperback,224,2005,2005,,7/15/16,,,read,,,,1,,,0,,,,,
